state,action,action_name,policy_prob,empirical_prob,abs_diff
21,0,Up,0.2484570309384611,0.2449,0.003557030938461103
21,1,Down,0.657731502662426,0.6612,0.003468497337574039
21,2,Left,0.0,0.0,0.0
21,3,Right,0.09381146639911286,0.0939,8.853360088713347e-05
22,0,Up,0.0735478162186941,0.0711,0.00244781621869411
22,1,Down,0.32889986717079744,0.3303,0.0014001328292025383
22,2,Left,0.14734835865233448,0.1443,0.0030483586523344652
22,3,Right,0.45020395795817403,0.4543,0.0040960420418259536
23,0,Up,0.3564060997689166,0.3527,0.00370609976891656
23,1,Down,0.19469178531701586,0.1988,0.00410821468298414
23,2,Left,0.32230006384669513,0.3143,0.008000063846695105
23,3,Right,0.12660205106737252,0.1342,0.007597948932627496
24,0,Up,0.2801254320135703,0.284,0.0038745679864296556
24,1,Down,0.09974158725618545,0.0994,0.00034158725618545216
24,2,Left,0.05746375993121335,0.0569,0.0005637599312133534
24,3,Right,0.5626692207990308,0.5597,0.002969220799030836
25,0,Up,0.08736484136826016,0.0849,0.002464841368260154
25,1,Down,0.11700227608755766,0.1223,0.005297723912442348
25,2,Left,0.19318352092138272,0.1957,0.0025164790786172953
25,3,Right,0.6024493616227995,0.5971,0.005349361622799531
26,0,Up,0.08621968678302187,0.0878,0.0015803132169781298
26,1,Down,0.14260592513081155,0.1446,0.0019940748691884558
26,2,Left,0.44997070394845645,0.4461,0.0038707039484564554
26,3,Right,0.3212036841377101,0.3215,0.0002963158622898976
27,0,Up,0.3922335103094386,0.3873,0.004933510309438616
27,1,Down,0.057248634883361724,0.0593,0.002051365116638275
27,2,Left,0.3983196994855856,0.4038,0.0054803005144143935
27,3,Right,0.15219815532161401,0.1496,0.002598155321614004
28,0,Up,0.08202610031653083,0.0795,0.0025261003165308327
28,1,Down,0.2647251279102897,0.2679,0.0031748720897103455
28,2,Left,0.04676295360156451,0.0458,0.000962953601564509
28,3,Right,0.6064858181716151,0.6068,0.0003141818283849407
29,0,Up,0.24044690154146023,0.2353,0.005146901541460219
29,1,Down,0.07282621192388099,0.0747,0.001873788076119015
29,2,Left,0.011343715634759732,0.0137,0.0023562843652402687
29,3,Right,0.6753831708998991,0.6763,0.0009168291001009354
30,0,Up,0.0,0.0,0.0
30,1,Down,0.4230762517010669,0.4309,0.00782374829893312
30,2,Left,0.1003036538663516,0.0977,0.002603653866351599
30,3,Right,0.4766200944325815,0.4714,0.005220094432581535
31,0,Up,0.21187380948244117,0.2104,0.001473809482441163
31,1,Down,0.0,0.0,0.0
31,2,Left,0.7011708049097903,0.7013,0.00012919509020969944
31,3,Right,0.08695538560776846,0.0883,0.0013446143922315468
32,0,Up,0.4800783104186428,0.4776,0.0024783104186427707
32,1,Down,0.08370157461872552,0.0833,0.00040157461872551703
32,2,Left,0.3379062374921874,0.3405,0.0025937625078126247
32,3,Right,0.09831387747044425,0.0986,0.00028612252955574624
33,0,Up,0.4769075529940721,0.4866,0.009692447005927862
33,1,Down,0.13683504515642336,0.1383,0.0014649548435766435
33,2,Left,0.23021685849929127,0.2218,0.008416858499291274
33,3,Right,0.1560405433502134,0.1533,0.002740543350213398
34,0,Up,0.4034802594325659,0.3999,0.003580259432565902
34,1,Down,0.2529018752906496,0.253,9.812470935038897e-05
34,2,Left,0.3282384249102863,0.3304,0.0021615750897137076
34,3,Right,0.015379440366498251,0.0167,0.0013205596335017483
35,0,Up,0.1964202522872046,0.1998,0.0033797477127953945
35,1,Down,0.3105152636266149,0.3096,0.0009152636266149261
35,2,Left,0.07188130548512518,0.0675,0.004381305485125178
35,3,Right,0.4211831786010553,0.4231,0.001916821398944668
36,0,Up,0.042171895150880684,0.0437,0.0015281048491193189
36,1,Down,0.6986514068742907,0.7009,0.0022485931257092417
36,2,Left,0.09141434532839951,0.0891,0.0023143453283995113
36,3,Right,0.167762352646429,0.1663,0.0014623526464289938
